Frame,Mean,Mean,,
133,1550.814,22.2537,0.780457797,0.073047776
134,1558.719,22.5362,0.801927224,0.096166751
135,1559.175,22.2147,0.803165688,0.06985613
136,1572.479,22.335,0.839298421,0.079701131
137,1564.829,22.4157,0.818521556,0.086305383
138,1563.181,22.1972,0.814045704,0.068423982
139,1574.029,22.1067,0.843508112,0.061017726
140,1580.31,22.4318,0.860566869,0.08762296
141,1561.009,21.936,0.808146704,0.047048137
142,1577.152,22.2491,0.851989962,0.072671326
143,1582.437,22.3185,0.866343652,0.078350819
144,1559.603,22.2982,0.804328106,0.076689526
145,1560.494,22.3489,0.806748,0.080838666
146,1551.792,22.5457,0.783113977,0.096944203
147,1553.636,22.4939,0.788122152,0.092705043
148,1564.513,22.4807,0.817663322,0.091624793
149,1556.211,22.1634,0.795115671,0.065657888
150,1547.556,22.0286,0.771609297,0.05462625
151,1556.742,22.3213,0.79655783,0.078579963
152,1551.192,22.5277,0.781484419,0.095471136
153,1559.142,22.2887,0.803076062,0.075912074
154,1565.373,22.3387,0.819999022,0.080003928
155,1576.556,22.4987,0.850371268,0.093097861
156,1567.505,22.3514,0.825789385,0.081043259
157,1581.69,22.1981,0.864314852,0.068497635
158,1573.913,22.1906,0.843193065,0.067883857
159,1563.944,22.1347,0.816117958,0.063309164
160,1582.768,22.5697,0.867242625,0.098908293
161,1568.116,22.4898,0.827448818,0.092369511
162,1570.935,22.3696,0.835105025,0.082532694
163,1574.278,22.6002,0.844184379,0.101404324
164,1576.575,22.3734,0.85042287,0.082843675
165,1576.304,22.09,0.849686853,0.059651047
166,1571.573,22.1953,0.836837788,0.068268491
167,1561.711,22.2119,0.810053287,0.069626987
168,1556.206,22.3153,0.795102092,0.078088941
169,1577.7,22.0963,0.853478292,0.06016662
170,1569.301,22.4066,0.830667195,0.085560666
171,1578.612,22.217,0.85595522,0.070044356
172,1570.282,22.4261,0.833331523,0.087156489
173,1572.483,22.4255,0.839309285,0.087107387
174,1567.828,22.4407,0.82666663,0.08835131
175,1597.009,22.271,0.905920184,0.074463558
176,1572.195,22.5121,0.838527097,0.094194478
177,1566.76,22.2686,0.823766017,0.074267149
178,1574.476,22.4424,0.844722133,0.088490433
179,1555.506,22.4124,0.793200941,0.086035321
180,1561.143,22.3657,0.808510638,0.082213529
181,1588.043,22.6139,0.881569156,0.102525492
182,1558.687,22.3999,0.801840314,0.085012357
183,1560.027,22.6682,0.80547966,0.106969246
184,1578.69,22.5954,0.856167062,0.101011506
185,1577.236,22.6524,0.8522181,0.10567622
186,1574.982,22.4246,0.846096394,0.087033733
187,1585.047,22.5976,0.873432229,0.101191548
188,1596.526,22.5883,0.90460839,0.100430463
189,1607.423,22.5048,0.934203879,0.093597067
190,1604.908,22.5303,0.927373315,0.095683912
191,1612.654,22.431,0.948410909,0.087557491
192,1616.342,22.1668,0.958427259,0.065936134
193,1631.649,22.5234,1,0.095119237
194,1617.418,22.474,0.9613496,0.091076485
195,1616.367,22.2403,0.958495157,0.07195116
196,1619.807,22.381,0.967837957,0.083465637
197,1620.022,22.5647,0.968421882,0.098499108
198,1600.381,22.1504,0.9150783,0.064594006
199,1603.177,22.3999,0.922672041,0.085012357
200,1603.152,22.396,0.922604142,0.084693193
201,1594.432,22.3802,0.898921233,0.083400167
202,1607.414,22.5068,0.934179436,0.093760741
203,1604.135,22.5825,0.925273902,0.099955808
204,1603.451,22.4139,0.923416205,0.086158077
205,1605.042,22.4946,0.92773725,0.092762329
206,1610.198,22.6044,0.941740585,0.10174804
207,1603.422,22.5014,0.923337443,0.093318821
208,1622.96,22.6528,0.976401284,0.105708955
209,1614.35,22.4893,0.953017127,0.092328592
210,1601.29,22.4667,0.917547081,0.090479074
211,1606.672,22.55,0.932164216,0.097296103
212,1601.036,22.4839,0.916857234,0.091886672
213,1588.96,22.3165,0.884059664,0.078187145
214,1603.124,22.2,0.922528096,0.068653125
215,1597.589,22.3706,0.907495424,0.082614531
216,1593.084,22.0409,0.895260159,0.055632846
217,1599.347,22.5436,0.912270029,0.096772346
218,1587.706,22.6019,0.880653887,0.101543447
219,1594.756,22.3605,0.899801194,0.081787976
220,1609.501,22.3255,0.939847582,0.078923679
221,1593.668,22.214,0.896846262,0.069798844
222,1582.192,22.2904,0.865678249,0.076051197
223,1592.642,22.375,0.894059718,0.082974614
224,1584.679,21.8948,0.872432767,0.043676449
225,1588.563,21.9656,0.882981439,0.049470514
226,1587.22,22.5619,0.879333945,0.098269964
227,1594.622,22.2612,0.899437259,0.073661555
228,1591.333,22.1267,0.890504565,0.062654467
229,1611.604,22.4537,0.945559183,0.089415192
230,1597.429,22.3991,0.907060875,0.084946888
231,1592.708,21.8587,0.894238969,0.04072213
232,1611.811,22.2905,0.94612138,0.076059381
233,1607.501,22.1539,0.934415722,0.064880436
234,1609.045,22.0527,0.938609118,0.056598524
235,1606.645,22.5467,0.932090886,0.097026041
236,1592.522,22.2362,0.893733806,0.071615628
237,1583.047,22.1661,0.868000369,0.065878848
238,1603.48,22.3653,0.923494967,0.082180794
239,1592.754,22.3881,0.894363902,0.08404668
240,1599.492,22.1256,0.912663838,0.062564447
241,1613.713,22.0525,0.951287079,0.056582156
242,1586.462,22.2295,0.87727527,0.071067319
243,1589.556,22.1044,0.885678358,0.060829501
244,1591.16,22.2323,0.89003471,0.071296463
245,1589.208,22.077,0.884733214,0.058587165
246,1586.578,22.1782,0.877590318,0.066869077
247,1596.734,22.3258,0.905173303,0.07894823
248,1581.221,22.3579,0.863041081,0.0815752
249,1583.594,22.148,0.869485983,0.064397597
250,1567.798,22.1259,0.826585153,0.062588998
251,1581.654,22.0477,0.864217079,0.056189338
252,1576.443,22.0795,0.850064368,0.058791757
253,1581.676,22.1652,0.864276829,0.065805195
254,1601.381,22.3555,0.91779423,0.081378791
255,1595.126,22.5703,0.900806088,0.098957396
256,1583.34,22.0933,0.868796137,0.059921109
257,1601.197,22.7062,0.917294499,0.110079055
258,1574.489,22.2732,0.84475744,0.0746436
259,1593.227,22.3125,0.895648537,0.077859797
260,1592.45,21.9508,0.893538259,0.048259325
261,1623.398,22.1565,0.977590861,0.065093212
262,1599.877,22.2033,0.913709472,0.068923188
263,1613.995,22.2842,0.952052971,0.075543807
264,1616.95,22.2086,0.960078545,0.069356924
265,1597.573,22.1254,0.907451969,0.062548079
266,1611.637,22.2133,0.945648809,0.069741559
267,1608.092,22.2125,0.936020837,0.069676089
268,1604.647,21.9514,0.926664458,0.048308428
269,1602.072,22.0365,0.919670938,0.055272763
270,1595.115,21.9018,0.900776213,0.044249308
271,1593.129,21.6963,0.895382376,0.027431789
272,1601.661,21.4987,0.918554691,0.011260782
273,1590.567,21.6026,0.888424163,0.019763655
274,1582.69,21.4814,0.867030782,0.009845001
275,1589.711,21.6427,0.886099327,0.023045321
276,1585.359,21.9004,0.8742796,0.044134737
277,1595.955,21.8736,0.903057594,0.041941503
278,1576.103,22.0055,0.849140951,0.052735814
279,1571.834,21.6909,0.837546646,0.026989869
280,1575.77,21.5859,0.848236547,0.018396975
281,1585.26,21.5079,0.874010722,0.012013683
282,1566.412,21.5829,0.822820874,0.018151464
283,1576.453,21.3749,0.850091527,0.001129352
284,1580.287,21.3619,0.860504403,6.54697E-05
285,1575.642,21.3978,0.847888908,0.003003421
286,1587.888,21.3611,0.881148187,0
287,1591.903,21.5343,0.892052646,0.014174182
288,1585.533,21.6169,0.874752171,0.020933925
289,1574.566,21.4778,0.844966567,0.009550387
290,1576.676,21.6489,0.850697179,0.023552711
291,1552.893,21.7063,0.786104216,0.02825016
