[sec],Mean
NaN,242.2197
Infinity,216.1288
Infinity,194.9924
Infinity,179.8485
Infinity,175.5606
Infinity,171.1742
Infinity,164.7197
Infinity,163.5606
Infinity,161.4773
Infinity,158.7955
Infinity,158.9167
Infinity,161.0227
Infinity,159.2273
Infinity,159.0000
Infinity,157.1667
Infinity,161.0379
Infinity,155.9848
Infinity,159.5909
Infinity,155.7348
Infinity,156.0758
Infinity,156.0076
Infinity,151.3333
Infinity,152.0606
Infinity,157.3636
Infinity,154.4091
Infinity,157.5227
Infinity,151.9621
Infinity,153.8864
Infinity,152.1212
Infinity,152.9167
Infinity,152.8182
Infinity,150.2197
Infinity,149.4015
Infinity,151.7652
Infinity,148.9167
Infinity,148.8939
Infinity,149.0152
Infinity,150.8409
Infinity,152.6894
Infinity,149.8333
Infinity,148.3712
Infinity,149.8939
Infinity,149.2424
Infinity,148.1288
Infinity,152.1667
Infinity,148.8106
Infinity,147.3182
Infinity,148.5606
Infinity,147.7348
Infinity,146.9470
Infinity,149.8030
Infinity,150.2652
Infinity,152.4773
Infinity,148.7273
Infinity,147.2803
Infinity,149.8182
Infinity,148.7803
Infinity,147.3409
Infinity,148.8864
Infinity,147.7045
Infinity,147.6439
Infinity,144.7121
Infinity,146.8258
Infinity,144.8409
Infinity,149.4848
Infinity,145.5379
Infinity,147.1136
Infinity,145.7197
Infinity,147.1061
Infinity,146.5833
Infinity,149.4167
Infinity,149.4697
Infinity,150.5227
Infinity,146.7576
Infinity,146.4318
Infinity,146.7803
Infinity,149.0152
Infinity,144.6061
Infinity,150.4015
Infinity,145.8333
Infinity,147.7955
Infinity,145.6061
Infinity,146.5076
Infinity,148.3258
Infinity,146.0379
Infinity,145.0606
Infinity,143.2500
Infinity,144.8106
Infinity,145.5606
Infinity,146.6667
Infinity,149.0379
Infinity,144.1970
Infinity,146.5000
Infinity,147.9091
Infinity,143.7348
Infinity,145.0530
Infinity,146.0833
Infinity,146.6364
Infinity,147.1136
Infinity,144.0303
Infinity,149.3182
Infinity,145.1364
Infinity,146.1288
Infinity,147.5076
Infinity,147.5606
Infinity,149.3409
Infinity,143.7879
Infinity,146.5758
Infinity,148.8712
Infinity,146.8485
Infinity,144.5530
Infinity,147.2045
Infinity,147.1591
Infinity,145.8712
Infinity,146.2424
Infinity,145.9848
Infinity,146.8636
Infinity,143.7424
Infinity,146.5379
Infinity,147.8182
Infinity,145.7273
