[sec],Mean
NaN,184.8149
Infinity,172.5249
Infinity,158.9530
Infinity,151.9530
Infinity,151.0359
Infinity,148.9420
Infinity,149.9586
Infinity,147.5166
Infinity,149.9890
Infinity,146.9696
Infinity,150.0221
Infinity,147.8674
Infinity,152.2403
Infinity,146.9392
Infinity,147.2514
Infinity,149.1519
Infinity,150.0663
Infinity,147.7293
Infinity,147.9834
Infinity,149.3039
Infinity,148.6436
Infinity,146.6547
Infinity,147.6657
Infinity,150.1768
Infinity,149.2928
Infinity,147.8453
Infinity,149.0994
Infinity,148.3867
Infinity,149.3039
Infinity,150.0967
Infinity,149.7210
Infinity,148.5387
Infinity,150.0525
Infinity,150.6879
Infinity,148.0939
Infinity,148.1160
Infinity,149.1381
Infinity,149.3978
Infinity,149.9061
Infinity,147.2735
Infinity,147.1050
Infinity,149.4447
Infinity,148.4309
Infinity,149.7182
Infinity,147.2155
Infinity,149.3066
Infinity,147.0773
Infinity,149.3564
Infinity,148.0387
Infinity,148.2044
Infinity,148.4006
Infinity,149.8950
Infinity,150.1713
Infinity,150.7707
Infinity,148.3481
Infinity,149.5028
Infinity,148.1188
Infinity,148.2486
Infinity,148.0912
Infinity,151.5718
Infinity,149.4558
Infinity,148.4669
Infinity,148.5221
Infinity,147.2348
Infinity,149.1188
Infinity,150.1464
Infinity,148.2790
Infinity,148.6961
Infinity,149.0608
Infinity,148.2956
Infinity,146.2873
Infinity,148.6796
Infinity,149.3315
Infinity,148.1326
Infinity,148.0608
Infinity,150.5000
Infinity,149.3757
Infinity,148.3591
Infinity,150.0414
Infinity,149.6492
Infinity,148.3508
Infinity,148.6216
Infinity,146.9862
Infinity,146.5497
Infinity,147.5967
Infinity,147.6160
Infinity,148.4227
Infinity,148.4144
Infinity,146.4917
Infinity,148.4254
Infinity,148.1243
Infinity,146.0553
Infinity,148.7210
Infinity,146.9033
Infinity,146.9779
Infinity,147.8646
Infinity,147.6188
Infinity,147.4724
Infinity,147.2486
Infinity,146.7293
Infinity,147.3536
Infinity,148.5608
Infinity,147.5442
Infinity,148.5414
Infinity,149.5635
Infinity,146.7542
Infinity,147.7376
Infinity,148.8812
Infinity,149.0967
Infinity,147.5635
Infinity,148.3674
Infinity,148.3177
Infinity,146.3039
Infinity,148.6188
Infinity,148.2597
Infinity,149.2680
Infinity,150.8370
Infinity,148.1188
Infinity,148.1409
Infinity,147.3425
Infinity,149.8564
