[sec],Mean
NaN,108.9714
-Infinity,110.2571
-Infinity,110.4571
-Infinity,107.6857
-Infinity,106.7143
-Infinity,110.0857
-Infinity,107.2000
-Infinity,107.6000
-Infinity,113.2286
-Infinity,107.2857
-Infinity,109.1429
-Infinity,107.7143
-Infinity,109.7429
-Infinity,107.5429
-Infinity,108.8000
-Infinity,106.9714
-Infinity,109.2000
-Infinity,109.2857
-Infinity,109.4286
-Infinity,108.9429
-Infinity,110.1429
-Infinity,109.7143
-Infinity,107.2571
-Infinity,108.2000
-Infinity,109.8286
-Infinity,109.6286
-Infinity,108.8857
-Infinity,109.2857
-Infinity,106.1429
-Infinity,107.9714
-Infinity,110.7143
-Infinity,106.1429
-Infinity,108.6286
-Infinity,107.4571
-Infinity,109.2571
-Infinity,109.5714
-Infinity,111.0857
-Infinity,107.9143
-Infinity,110.0571
-Infinity,108.6286
-Infinity,108.0857
-Infinity,107.6571
-Infinity,108.1714
-Infinity,111.0857
-Infinity,110.2000
-Infinity,107.3143
-Infinity,109.9714
-Infinity,109.4000
-Infinity,108.7143
-Infinity,108.5714
-Infinity,110.0571
-Infinity,103.6857
-Infinity,106.2571
-Infinity,109.5143
-Infinity,108.8000
-Infinity,111.4571
-Infinity,109.4286
-Infinity,111.7143
-Infinity,110.3714
-Infinity,107.1143
-Infinity,109.8286
-Infinity,108.2571
-Infinity,104.5429
-Infinity,109.9429
-Infinity,110.3429
-Infinity,109.3143
-Infinity,107.0571
-Infinity,110.6571
-Infinity,104.6571
-Infinity,108.4000
-Infinity,107.5143
-Infinity,108.4286
-Infinity,105.8571
-Infinity,109.0571
-Infinity,110.8286
-Infinity,106.3143
-Infinity,106.6286
-Infinity,110.6857
-Infinity,107.8857
-Infinity,107.5429
-Infinity,109.7143
-Infinity,108.6000
-Infinity,107.2571
-Infinity,108.0857
-Infinity,106.1714
-Infinity,110.6857
-Infinity,109.9714
-Infinity,105.3429
-Infinity,109.3429
-Infinity,108.7429
