Time,ROI,Whole,Back
0,599.605,166.2499,31.05968
0.31,604.205,165.545,31.28851
0.619,563.919,164.3469,30.16422
0.93,615.41,164.0917,29.29007
1.241,605.719,163.7053,30.52643
1.551,590.985,162.442,30.90604
1.864,590.931,161.8319,30.84909
2.173,585.062,161.677,30.28643
2.483,575.725,160.8009,29.88929
2.792,546.221,158.5153,29.26487
3.101,568.194,157.7107,30.69487
3.411,545.338,156.3954,30.11903
3.721,541.584,157.6728,29.38643
4.035,561.583,156.7104,30.02909
4.344,556.828,156.3572,30.02961
4.653,545.388,155.0137,29.89747
4.962,582.001,155.4529,28.75597
5.271,547.81,153.561,29.98643
5.58,546.09,154.9956,30.72721
5.893,536.458,153.2386,29.82059
6.332,276.649,145.236,30.45552
6.643,202.207,139.1385,30.21513
7.071,226.106,138.3117,30.25201
7.38,230.043,138.7926,30.55649
7.691,235.325,136.9039,30.23201
8.004,256.57,136.886,30.48922
8.313,240.658,137.6853,30.53448
8.624,274.43,137.0208,31.1163
8.935,258.499,136.2224,29.94253
9.244,267.109,135.8126,30.05033
9.553,274.709,136.5993,31.29292
9.867,256.159,134.3425,29.31052
10.176,251.725,137.149,30.63104
10.486,276.494,135.6567,29.92422
10.795,252.436,135.1919,30.00935
11.106,273.515,133.39,30.4113
11.416,269.623,133.9121,30.94123
11.725,273.883,135.1042,29.68429
12.039,258.225,133.4472,29.56052
12.35,276.669,132.4706,30.52104
12.66,269.72,132.4474,29.43883
12.969,282.209,133.0176,29.74409
13.278,271.522,131.1448,29.39695
13.587,270.738,133.015,30.12033
13.9,280.277,130.5576,29.74156
14.21,241.095,130.7365,29.805
14.519,279.915,131.0975,30.40318
14.828,291.953,132.4682,29.94455
15.137,285.2,131.605,30.29805
15.447,295.932,130.5939,28.87331
15.756,288.227,129.2198,29.52429
16.069,275.221,129.2803,29.45415
16.379,263.789,130.8169,29.15442
16.69,270.426,130.3329,29.50779
17.001,294.39,129.2457,29.455
17.31,264.628,128.9997,29.39961
17.619,282.915,127.8931,29.59
17.933,287.012,127.6397,30.67487
18.242,304.849,127.1823,30.03669
18.551,280.599,128.6595,30.25584
18.861,287.279,128.6681,29.95955
19.17,280.169,126.0184,29.41052
19.479,266.095,128.2197,30.05195
19.788,283.547,126.7368,29.70714
20.101,279.632,126.8453,30.13792
20.41,273.1,126.0499,30.09948
20.719,281.507,125.984,29.99299
21.028,290.093,125.5349,29.8339
21.338,304.363,125.9107,29.49377
21.647,284.858,125.6909,29.87007
21.96,281.723,125.5545,29.48071
22.269,274.26,124.2987,29.78344
26.273,279.202,125.9357,29.70104
30.273,297.159,125.777,30.30708
34.274,326.681,125.9863,29.51455
38.274,316.568,125.8502,28.85578
42.274,328.974,127.5309,29.98429
46.274,338.551,128.2532,30.10662
50.274,333.502,127.9344,29.18526
54.275,330.225,128.9745,28.8
58.274,322.346,129.894,29.21065
62.275,338.425,131.6766,29.52877
66.275,333.596,133.3903,29.2163
70.276,357.773,134.0912,29.38383
74.275,324.191,132.3901,29.49825
78.276,349.752,133.6505,28.94701
82.276,364.885,132.953,29.06487
86.276,346.265,134.5518,29.08799
90.277,336.381,133.8922,30.2111
94.276,344.315,134.9339,29.51981
98.277,338.69,135.642,30.21156
102.277,341.068,136.3061,29.34519
106.278,329.411,137.4051,29.4787
110.277,355.558,138.134,30.54299
114.278,363.752,141.3541,29.7187
118.278,361.011,138.0199,29.11045
122.279,376.384,139.7401,29.81591
126.278,377.494,139.2252,29.50584
130.278,375.87,141.7385,30.08117
134.279,393.309,142.1292,29.39682
138.279,393.914,141.2471,30.18604
142.28,404.264,142.7196,29.22643
146.279,399.178,142.5986,29.87838
150.28,416.989,142.9974,29.21714
154.28,402.798,142.4935,29.37987
158.281,441.115,144.9582,29.10675
162.28,417.356,142.7583,28.78156
166.281,453.388,144.9084,29.84455
170.281,469.51,144.9744,29.50078
174.281,509.405,144.8656,29.94708
178.282,473.546,144.5587,29.68234
182.281,458.241,144.443,29.8826
186.282,461.562,143.2817,30.26493
190.282,446.741,144.4413,29.44734
194.283,465.872,143.8763,29.46052
198.282,509.206,146.0854,29.09799
202.283,494.167,143.6897,28.96727
206.283,471.509,145.5752,31.07851
210.284,477.525,143.2743,29.74831
214.283,498.78,144.7414,30.09169
218.283,514.92,142.8647,29.48597
222.284,534.884,143.7897,29.61286
