Time,ROI,Whole,Back
0,302.459,156.5845,28.91004
0.309,285.755,157.4621,27.28243
0.618,299.7,148.1765,29.49895
0.927,309.467,140.9525,29.19411
1.236,320.829,130.6703,29.32172
1.545,323.41,129.2269,29.05161
1.858,306.06,123.9468,29.20572
2.167,322.479,122.1862,28.09172
2.476,306.704,120.0638,28.9335
2.785,309.518,117.882,28.39984
3.094,330.55,111.9972,29.50528
3.403,328.154,108.2307,29.29545
3.712,329.126,107.8234,29.40793
4.025,300.582,101.2873,30.31703
4.335,309.301,99.0602,30.03624
4.644,302.688,101.1,30.03894
4.953,318.675,98.9827,29.89902
5.262,310.059,101.3959,29.69059
5.571,287.835,100.9787,30.14121
5.884,293.255,97.4789,29.71147
6.323,141.449,101.255,28.71077
6.632,95.54,95.5398,30.23469
7.063,126.424,89.9739,31.26777
7.372,130.903,92.2387,28.56533
7.681,118.734,89.2454,29.07929
7.994,129.176,90.7425,29.47725
8.303,143.559,89.6627,29.37673
8.612,144.714,94.1182,29.83802
8.921,129.834,94.848,28.83627
9.23,135.12,91.9512,29.48112
9.539,148.766,91.1141,29.96188
9.852,144.602,87.1242,28.76191
10.161,149.247,86.8665,30.12644
10.47,147.349,90.1994,30.09172
10.779,148.621,89.131,30.30518
11.088,153.089,87.6846,30.06744
11.397,138.253,90.8239,29.61694
11.706,148.649,88.8076,29.13042
12.019,160.841,88.1121,29.56216
12.328,161.001,89.7054,28.538
12.637,164.897,85.6827,28.78853
12.947,159.793,87.6537,28.87345
13.256,174.299,85.1524,29.81468
13.565,153.395,83.0959,28.91743
13.878,153.928,87.0953,29.83134
14.187,166.54,86.9402,30.63547
14.496,164.212,86.1607,29.49073
14.805,172.286,86.2738,28.64415
15.114,173.02,82.046,28.80401
15.423,163.422,88.9563,29.25311
15.732,150.967,84.6962,29.45954
16.045,159.112,84.8729,29.44335
16.354,164.828,82.1728,30.12773
16.663,154.988,81.3899,29.50493
16.972,161.671,79.6723,29.46927
17.281,162.97,82.6829,28.73117
17.59,138.199,81.9055,29.57037
17.903,167.809,82.92,28.74936
18.212,159.729,84.1165,29.58527
18.521,145.594,86.483,29.26448
18.83,158.032,82.7639,29.71522
19.139,147.447,83.617,28.9091
19.448,157.147,86.0208,29.59711
19.757,153.599,79.4268,29.79791
20.07,165.873,81.092,28.4118
20.379,157.693,80.0768,29.04269
20.688,175.727,82.468,30.09289
20.997,169.831,81.9598,28.84506
21.306,176.05,80.7026,28.34002
21.615,171.334,80.7648,29.98909
21.928,158.189,82.0424,28.92564
22.237,172.5,81.2509,30.55125
26.24,171.075,81.6489,29.6357
30.239,187.441,83.7824,30.14438
34.24,202.365,88.1807,28.8996
38.24,182.635,88.7979,29.57131
42.241,191.39,92.1879,29.26061
46.24,199.467,88.2083,28.26507
50.241,212.821,86.2408,29.8745
54.241,200.619,85.9089,28.75147
58.241,197.631,91.4749,29.11506
62.241,207.424,89.4388,30.46329
66.241,234.431,90.3969,28.48557
70.242,226.96,86.9729,27.93162
74.242,222.85,85.4482,28.05383
78.243,236.926,85.6544,27.81504
82.242,231.576,87.8775,29.82641
86.243,244.122,86.5329,28.52756
90.243,236.019,88.6919,28.90253
94.244,231.483,88.4549,27.92693
98.243,255.052,84.4633,27.95402
102.243,253.362,84.1468,27.72062
106.244,236.996,92.0177,27.85902
110.244,251.128,82.7161,27.90265
114.245,267.14,85.8532,28.232
118.244,250.531,83.98,27.62175
122.245,246.259,83.5622,28.68977
126.245,264.705,88.2632,28.20525
130.246,241.308,88.4497,28.20432
134.245,247.672,84.7425,27.89679
138.246,260.575,86.2895,27.20643
142.246,248.43,85.8347,28.16221
146.246,271.887,90.5145,28.64391
150.246,257.367,91.4908,28.42482
154.246,243.242,89.8769,27.37169
158.247,262.753,90.4258,28.57612
162.247,252.006,93.8105,29.02592
166.248,274.734,91.6028,28.54527
170.247,264.169,91.8275,30.23434
174.248,266.06,90.6936,27.68743
178.248,264.159,91.7895,28.72144
182.249,257.607,87.5613,27.54832
186.248,251.527,91.6524,27.05043
190.248,284.948,95.2581,29.11119
194.249,259.014,90.4081,27.28478
198.249,255.567,90.8858,28.16174
202.249,267.478,90.5659,28.56017
206.249,256.626,95.441,27.40464
210.25,267.881,91.6046,28.01865
214.25,268.425,82.3101,27.52803
218.251,276.377,87.9624,29.01572
222.25,256.207,89.9755,28.6547
