Time,ROI,Whole,Back
0,395.022,115.4072,29.35534
0.311,418.543,118.9518,27.63699
0.62,399.926,114.0295,29.87797
0.929,402.419,112.6527,28.86396
1.238,413.715,109.5067,28.31054
1.549,403.006,107.6938,29.00472
1.863,399.025,102.8622,29.45542
2.172,404.408,105.1357,29.21385
2.481,409.664,103.4403,28.00089
2.79,395.78,104.7824,30.23066
3.099,385.431,100.5135,29.99086
3.408,391.192,102.411,30.10376
3.717,411.507,96.825,29.53839
4.031,376.446,98.1283,29.25763
4.341,405.022,97.0194,29.55151
4.65,374.684,98.9086,28.21695
4.959,401.751,97.9872,28.51938
5.268,387.109,97.5951,29.11142
5.577,397.088,97.6412,28.56875
5.892,395.407,96.5869,29.76021
6.331,230.844,95.606,30.16271
6.642,169.636,89.7861,28.45041
7.072,185.556,89.2303,28.78055
7.381,178.316,92.3468,27.77141
7.69,194.408,89.8936,28.78379
8.003,184.728,89.6406,28.33545
8.312,186.329,89.0443,29.12926
8.621,195.333,91.8158,30.05365
8.93,177.393,90.6761,29.72867
9.24,192.136,89.8143,28.37273
9.55,201.354,90.6582,28.71349
9.864,195.36,89.694,28.56478
10.173,184.263,88.633,29.33574
10.483,203.365,91.6679,29.03567
10.794,219.46,90.2158,29.0084
11.103,213.627,90.3868,27.97332
11.414,184.496,91.1573,27.92542
11.723,200.103,88.262,28.53884
12.036,198.297,88.5527,29.4311
12.345,208.479,89.4203,29.5549
12.654,190.279,90.9665,27.6143
12.964,210.43,88.4682,28.74237
13.274,214.757,88.8842,28.53058
13.583,204.023,90.607,28.33721
13.896,207.087,87.7057,28.99337
14.206,201.175,89.44,28.68283
14.516,204.004,85.2457,29.36993
14.826,208.292,85.003,29.55623
15.135,190.465,86.6116,28.72719
15.445,209.366,86.0904,28.95873
15.754,197.774,86.644,29.73132
16.067,187.606,85.4276,28.50995
16.377,190.383,85.7482,28.27192
16.686,198.884,86.5329,28.84834
16.997,197.514,86.0259,30.52012
17.308,183.438,88.8706,28.60118
17.619,210.57,87.0129,28.1154
17.933,216.722,83.3024,29.41813
18.245,179.258,86.559,29.29359
18.554,203.955,83.5538,29.29152
18.864,205.829,84.9774,29.1182
19.175,194.319,88.0236,29.94621
19.484,202.44,84.7731,28.52365
19.793,206.351,84.7186,29.16846
20.107,206.562,85.4166,28.33456
20.416,179.825,85.2975,28.35387
20.727,202.545,84.7142,27.68401
21.037,216.593,82.4399,28.11643
21.347,212.47,83.09,28.66603
21.656,182.463,82.3503,26.9017
21.97,205.796,81.1697,27.63021
22.279,207.26,81.7957,28.38629
26.283,203.202,87.5803,27.56566
30.283,217.194,87.5122,29.12439
34.283,206.662,88.4263,28.28696
38.283,223.537,88.0358,28.97082
42.284,223.03,87.747,29.39145
46.284,236.568,89.1872,28.97848
50.284,258.264,84.0531,28.92027
54.284,237.58,88.8524,29.1157
58.284,273.849,89.5636,29.57465
62.285,267.99,89.2747,29.89595
66.285,285.371,88.3492,29.84466
70.285,302.046,88.6791,28.14945
74.285,291.136,87.8236,29.23154
78.286,294.488,89.2713,29.80589
82.286,290.011,87.88,29.42505
86.286,310.336,84.8351,30.15092
90.286,319.925,85.166,28.40324
94.286,300.075,89.2442,29.01813
98.287,329.822,89.8487,30.40177
102.287,300.458,85.9445,28.8532
106.287,309.993,86.0327,29.572
110.287,285.522,83.9845,29.90479
114.288,309.04,82.779,28.97096
118.288,309.986,84.4726,29.84982
122.288,333.976,83.5303,29.30494
126.288,323.999,84.1952,28.55564
130.289,308.843,85.2263,27.40295
134.289,298.918,86.8957,28.88371
138.288,305.948,85.1053,29.22108
142.289,320.44,86.198,28.59602
146.289,310.11,88.7255,27.93618
150.29,322.576,83.8579,29.02373
154.29,315.167,87.0103,29.1129
158.29,290.65,86.8323,29.6507
162.29,330.722,85.2381,28.11378
166.291,312.389,86.3445,27.67841
170.291,309.749,85.6002,28.78762
174.291,302.886,87.937,29.38644
178.291,301.466,86.6641,29.49816
182.291,330.077,85.1652,29.14001
186.292,306.888,85.7715,28.36993
190.291,328.696,84.8789,30.37156
194.292,314.658,84.9116,27.85394
198.292,336.566,85.1366,28.71496
202.293,356.548,89.5938,29.71069
206.293,358.514,86.7514,28.47826
210.293,371.76,85.5521,28.26573
214.293,333.496,86.7769,28.01651
218.293,372.091,86.798,28.6734
222.294,373.831,89.1882,27.33736
