[sec],Mean,Mean
321,153.854,154.848
322,153.792,148.667
323,155.104,149
324,151.375,152.788
325,151.073,149.606
326,148.74,150.091
327,152.25,148.848
328,150.219,146.061
329,149.573,149.364
330,150.615,145.788
331,151.385,147.121
332,152.375,148.455
333,151.188,147.606
334,151.781,150.182
335,153.635,146.364
336,152.042,144.333
337,151.51,143.697
338,150.927,142.424
339,151.219,147.394
340,155.458,146.121
341,155.333,150.727
342,152.969,143.455
343,154.854,146.333
344,152.844,143.606
345,152.229,144.939
346,149.448,145.485
347,149.115,145.758
348,151.698,145.939
349,150.74,149.152
350,149,144.848
351,150.521,150.091
352,148.917,146.455
353,150.135,143.303
354,149.75,146.273
355,150.802,145.545
356,149.177,148.424
357,153.646,146.667
358,150.552,141.636
