[sec],Mean
NaN,117.6667
-Infinity,118.1746
-Infinity,114.4603
-Infinity,116.8889
-Infinity,114.8571
-Infinity,116.4603
-Infinity,116.7460
-Infinity,115.6190
-Infinity,113.0635
-Infinity,114.2540
-Infinity,115.2381
-Infinity,113.5556
-Infinity,120.5079
-Infinity,117.1270
-Infinity,115.8095
-Infinity,116.8095
-Infinity,115.5079
-Infinity,117.4762
-Infinity,113.3016
-Infinity,117.6190
-Infinity,115.8730
-Infinity,116.6508
-Infinity,113.4603
-Infinity,111.8095
-Infinity,115.0635
-Infinity,113.6190
-Infinity,114.8889
-Infinity,114.4127
-Infinity,119.1111
-Infinity,116.4444
-Infinity,115.2698
-Infinity,115.0476
-Infinity,115.8889
-Infinity,119.4286
-Infinity,113.8413
-Infinity,114.5556
-Infinity,116.0952
-Infinity,115.4603
-Infinity,118.5714
-Infinity,115.4762
-Infinity,115.9524
-Infinity,113.7302
-Infinity,116.0476
-Infinity,114.1429
-Infinity,113.6984
-Infinity,116.7460
-Infinity,115.6032
-Infinity,115.6190
-Infinity,114.6508
-Infinity,114.5238
-Infinity,111.3810
-Infinity,114.9841
-Infinity,114.8413
-Infinity,112.5556
-Infinity,116.0952
-Infinity,114.8571
-Infinity,114.0317
-Infinity,114.1905
-Infinity,113.3810
-Infinity,116.7619
-Infinity,114.5873
-Infinity,112.8254
-Infinity,110.9841
-Infinity,114.3810
-Infinity,114.8254
-Infinity,116.4286
-Infinity,115.3016
-Infinity,116.8254
-Infinity,116.7143
-Infinity,113.5238
-Infinity,115.3333
-Infinity,113.6508
-Infinity,114.7143
-Infinity,117.5238
-Infinity,116.9048
-Infinity,113.7778
-Infinity,117.5079
-Infinity,114.8254
-Infinity,114.0476
-Infinity,113.2698
-Infinity,115.4921
-Infinity,116.8095
-Infinity,112.4286
-Infinity,112.7619
-Infinity,115.9048
-Infinity,115.3016
-Infinity,116.9365
-Infinity,113.3333
-Infinity,112.9048
-Infinity,115.7143
-Infinity,115.6032
-Infinity,114.8095
-Infinity,114.8889
-Infinity,115.5079
-Infinity,114.8413
-Infinity,114.5079
-Infinity,117.0794
-Infinity,114.0952
-Infinity,116.5714
-Infinity,116.8413
-Infinity,118.2857
-Infinity,117.4444
-Infinity,116.4286
-Infinity,119.9524
-Infinity,116.1111
-Infinity,112.9206
-Infinity,117.8254
-Infinity,115.8095
-Infinity,113.9683
-Infinity,116.4444
-Infinity,117.2698
-Infinity,117.2381
-Infinity,114.6032
-Infinity,115.5714
-Infinity,115.5238
-Infinity,114.6984
-Infinity,118.1429
-Infinity,114.9048
-Infinity,115.5079
-Infinity,112.4286
-Infinity,115.1111
-Infinity,117.4127
-Infinity,113.3492
-Infinity,111.7143
-Infinity,113.3175
-Infinity,112.8889
-Infinity,112.9841
-Infinity,112.4127
-Infinity,115.4603
-Infinity,114.7619
-Infinity,114.7936
-Infinity,116.0476
-Infinity,114.3651
-Infinity,115.2222
-Infinity,116.8730
-Infinity,113.9365
-Infinity,117.3810
-Infinity,112.8254
-Infinity,117.0159
-Infinity,117.2222
-Infinity,113.8254
-Infinity,116.6349
-Infinity,113.5873
-Infinity,115.7302
-Infinity,115.3810
-Infinity,114.2381
-Infinity,112.5397
-Infinity,115.3016
-Infinity,115.0000
-Infinity,113.6349
-Infinity,114.5714
-Infinity,115.1111
-Infinity,115.3651
-Infinity,114.5238
-Infinity,113.1587
-Infinity,117.5556
-Infinity,115.8730
-Infinity,119.2540
-Infinity,112.3016
-Infinity,116.2857
-Infinity,114.6190
-Infinity,113.6349
-Infinity,116.4603
-Infinity,114.0000
-Infinity,115.4127
-Infinity,113.0317
-Infinity,118.5238
-Infinity,114.8730
-Infinity,114.6984
-Infinity,113.4603
-Infinity,114.0000
-Infinity,113.4603
-Infinity,117.5556
-Infinity,113.8413
-Infinity,115.4921
-Infinity,113.5873
-Infinity,115.0159
-Infinity,111.1905
-Infinity,115.3651
-Infinity,114.0635
