[sec],Mean
NaN,126.8500
-Infinity,122.7500
-Infinity,122.6000
-Infinity,124.3000
-Infinity,118.8500
-Infinity,121.8500
-Infinity,115.7500
-Infinity,115.5500
-Infinity,117.9500
-Infinity,113.4500
-Infinity,115.7500
-Infinity,114.2000
-Infinity,116.2500
-Infinity,113.2500
-Infinity,116.7500
-Infinity,114.6000
-Infinity,112.6500
-Infinity,115.7000
-Infinity,115.7500
-Infinity,117.0000
-Infinity,114.0000
-Infinity,115.9000
-Infinity,118.2500
-Infinity,111.9000
-Infinity,116.3500
-Infinity,112.4000
-Infinity,112.8000
-Infinity,110.9500
-Infinity,115.6500
-Infinity,113.3500
-Infinity,116.4500
-Infinity,111.7000
-Infinity,117.9000
-Infinity,113.5500
-Infinity,114.0500
-Infinity,114.9000
-Infinity,117.7500
-Infinity,117.9000
-Infinity,114.7500
-Infinity,110.6500
-Infinity,115.1000
-Infinity,116.6500
-Infinity,111.2000
-Infinity,116.0500
-Infinity,117.7000
-Infinity,114.1500
-Infinity,116.0000
-Infinity,116.4500
-Infinity,112.6000
-Infinity,115.1000
-Infinity,119.5500
-Infinity,113.3500
-Infinity,115.6500
-Infinity,113.2000
-Infinity,112.3000
-Infinity,110.3500
-Infinity,112.4000
-Infinity,116.3000
-Infinity,111.2500
-Infinity,113.1000
-Infinity,115.8000
-Infinity,121.8000
-Infinity,116.0000
-Infinity,116.6500
-Infinity,113.8500
-Infinity,111.6500
-Infinity,118.6000
-Infinity,117.9000
-Infinity,116.2500
-Infinity,115.6000
-Infinity,118.4000
-Infinity,114.3000
-Infinity,121.4000
-Infinity,117.2000
-Infinity,112.8000
-Infinity,112.6000
-Infinity,117.7500
-Infinity,116.5000
-Infinity,113.4500
-Infinity,116.0500
-Infinity,115.8500
-Infinity,112.6500
-Infinity,117.5500
-Infinity,111.9000
-Infinity,118.2000
-Infinity,121.3000
-Infinity,111.8500
-Infinity,114.6000
-Infinity,113.9500
-Infinity,112.0500
-Infinity,114.8500
-Infinity,114.4500
-Infinity,118.2500
-Infinity,113.5500
-Infinity,110.1500
-Infinity,119.2500
-Infinity,121.1000
-Infinity,116.1000
-Infinity,115.2500
-Infinity,120.1500
-Infinity,116.5000
-Infinity,117.6500
-Infinity,119.6000
-Infinity,114.1000
-Infinity,116.7500
-Infinity,118.7000
-Infinity,117.2000
-Infinity,115.7500
-Infinity,113.6500
-Infinity,112.3500
-Infinity,116.0500
-Infinity,116.4000
-Infinity,119.0000
-Infinity,120.7000
-Infinity,115.3000
-Infinity,119.1000
-Infinity,115.5000
-Infinity,111.7000
-Infinity,117.2500
-Infinity,117.9000
