[sec],Mean
0,2379.806
1,1894.710
2,1644.452
3,1523.871
4,1517.742
5,1469.161
6,1501.387
7,1478.194
8,1507.355
9,1511.452
10,1468.871
11,1492.968
12,1488.839
13,1495.935
14,1507.419
15,1498.710
16,1508.677
17,1534.871
18,1544.871
19,1540.645
20,1540.742
21,1550.871
22,1558.839
23,1573.032
24,1564.677
25,1562.355
26,1593.323
27,1598.258
28,1567.548
29,1575.677
30,1561.968
31,1587.323
32,1578.742
33,1598.387
34,1582.355
35,1597.129
36,1617.129
37,1608.452
38,1632.677
39,1603.065
40,1619.258
41,1630.387
42,1625.387
43,1644.516
44,1668.903
45,1641.806
46,1635.129
47,1652.935
48,1686.677
49,1685.710
50,1684.226
51,1729.645
52,1732.355
53,1745.419
54,1771.000
55,1723.548
56,1757.097
57,1762.871
58,1724.226
59,1743.645
