[sec],Mean
0,558.444
1,393.956
2,313.125
3,289.812
4,291.269
5,289.763
6,295.706
7,301.188
8,308.388
9,317.425
10,318.600
11,332.481
12,339.038
13,347.112
14,353.244
15,356.475
16,367.513
17,368.869
18,380.112
19,381.631
20,386.456
21,394.200
22,391.944
23,407.369
24,410.319
25,402.200
26,408.062
27,417.544
28,417.744
29,421.944
30,426.794
31,433.888
32,438.606
33,437.619
34,438.994
35,444.775
36,454.700
37,458.438
38,448.606
39,455.819
40,457.706
41,457.631
42,454.481
43,464.606
44,462.587
45,467.719
46,468.337
47,470.119
48,472.087
49,476.612
50,478.331
51,470.288
52,478.944
53,474.175
54,471.275
55,476.044
56,470.306
57,475.519
58,478.513
59,471.300
