Time,ROI,Whole Cell,Background
0,299.439,327.551,52.7245
0.25,291.634,324.664,52.7486
0.5,292.509,310.448,50.1673
0.75,291.952,313.509,55.3913
1,267.381,308.394,49.1168
1.25,278.158,312.342,55.4072
1.5,291.568,291.952,46.8409
1.75,281.974,292.467,50.3019
2,289.824,299.769,45.726
2.25,285.563,320.675,46.2226
2.5,296.262,306.021,52.1856
2.75,283.298,325.32,48.2683
3,291.382,331.357,53.1668
3.25,293.51,317.325,55.0913
3.5,289.103,323.351,51.2111
3.75,294.36,312.109,47.4663
4,277.642,303.871,48.0091
4.25,301.009,303.214,44.2889
4.5,304.163,298.586,47.5212
4.75,300.725,298.069,44.9471
4.971,143.61,319.801,46.8029
5.192,118.326,296.509,51.9808
5.413,112.371,260.746,45.3447
5.634,104.799,275.26,49.2596
5.855,98.326,263.733,51.0236
6.105,202.742,243.091,53.4159
6.355,220.86,248.463,48.0356
6.605,226.103,243.276,47.7601
6.855,237.202,265.665,44.5341
7.105,241.544,264.326,47.7231
7.355,249.311,289.078,48.8154
7.605,262.364,263.368,48.7524
7.855,260.143,270.183,45.8611
8.105,245.945,272.333,52.7048
8.355,262.789,274.534,45.7716
8.605,256.713,275.829,51.7923
8.855,265.676,271.673,45.1274
9.105,252.116,282.242,48.6183
9.355,268.899,287.261,44.4635
9.605,283.546,277.124,50.4452
9.855,261.063,273.649,44.1692
10.105,277.903,267.098,51.2413
10.355,279.644,267.193,48.0913
10.605,277.018,280.377,47.8365
10.855,280.591,273.408,50.287
11.105,254.449,273.268,49.2212
11.355,268.977,287.828,46.7341
11.605,283.906,261.127,46.0798
11.855,283.924,272.955,49.5125
12.105,276.462,263.235,47.6063
12.355,258.624,258.798,48.8591
12.605,270.675,267.785,45.4649
12.855,255.208,264.951,44.7048
13.105,273.432,262.199,47.7668
13.355,287.459,266.705,47.9442
13.605,293.069,279.574,40.5644
13.855,274.929,273.119,46.6337
14.105,283.054,281.806,46.8505
14.355,263.105,274.605,46.6649
14.605,283.911,280.411,48.7846
14.855,277.566,260.074,50.5447
15.105,293.122,280.567,46.0519
15.355,276.08,284.757,48.3139
15.605,293.923,283.735,49.8841
15.855,270.481,265.922,47.7394
16.105,270.53,295.075,48.7139
16.355,299.549,281.25,43.275
16.605,264.849,285.878,47.7543
16.855,281.587,272.724,46.4303
17.105,284.769,290.02,47.5663
17.355,286.125,284.814,46.3937
17.605,274.413,271.443,43.0986
17.855,270.928,271.607,45.3462
18.105,294.427,270.21,47.1784
18.355,295.427,282.633,48.9601
18.605,261.182,259.367,45.7269
18.855,264.54,253.119,46.8101
19.105,290.608,278.472,46.5087
19.355,276.231,276.954,44.1538
19.605,289.669,262.432,43.9644
19.855,265.236,251.862,44.1731
20.105,262,284.056,53.6712
20.355,273.328,289.076,48.4322
20.605,281.44,273.544,49.6928
20.855,273.001,277.452,39.776
21.105,269.219,282.824,39.3457
21.355,261.535,267.801,40.1952
21.605,262.798,270.793,46.3971
21.855,288.608,288.984,45.0856
22.105,300.33,252.197,47.3125
22.355,269.783,274.403,43.574
22.605,288.175,265.995,43.2673
22.855,285.383,279.548,46.5774
23.105,273.501,273.519,47.6913
23.355,276.248,267.348,53.2423
23.605,290.351,245.705,47.1524
23.855,284.972,279.237,45.7269
24.105,268.879,276.288,48.8606
24.355,288.483,273.451,46.2712
24.605,266.079,274.707,41.2562
24.855,269.592,282.266,46.4322
25.105,260.323,251.41,42.8736
25.355,296.615,244.399,48.1596
25.605,272.657,246.247,46.6106
25.855,273.77,266.107,43.8173
26.105,273.231,259.518,41.1899
26.355,284.182,239.452,43.3731
26.605,270.993,277.873,47.1389
26.855,293.749,256.888,49.9688
27.105,291.083,254.698,44.8784
27.355,254.347,256.943,45.7101
27.605,276.92,239.343,46.2053
27.855,266.527,252.683,46.313
28.105,257.254,258.662,45.9846
28.355,255.494,256.118,45.9481
28.605,265.369,263.333,43.3072
28.855,259.294,268.475,42.5687
29.105,262.23,274.139,42.387
29.355,274.318,268.222,47.8909
29.605,277.167,261.695,49.0385
29.855,273.446,241.818,46.0312
30.105,283.707,261.273,41.0399
30.355,271.891,251.597,44.3072
30.605,270.867,256.5,46.5841
30.855,271.275,258.36,41.9625
