Time,ROI,Whole Cell,Background
0,401.064,350.157,53.201
0.25,388.703,377.053,50.1135
0.5,374.448,352.943,51.413
0.75,363.65,377.678,54.5192
1,360.427,366.675,55.4284
1.25,360.726,356.636,52.6736
1.5,362.338,370.358,52.1726
1.75,343.865,360.594,55.2577
2,376.852,334.152,51.762
2.25,355.927,355.27,48.4558
2.5,358.942,375.483,55.8611
2.75,365.728,372.82,51.0197
3,361.684,344.564,50.2101
3.25,343.565,374.579,52.8543
3.5,350.328,355.9,55.1399
3.75,356.869,344.633,49.9587
4,353.601,331.283,50.4082
4.25,347.839,363.765,50.1173
4.5,351.599,347.369,53.0808
4.75,375.319,361.347,51.3091
4.971,160.877,373.234,52.1216
5.192,134.722,334.537,48.6726
5.413,120.249,309.825,48.8788
5.634,124.702,326.491,44.249
5.855,109.849,302.211,50.9062
6.105,232.148,263.747,46.5264
6.355,257.191,304.981,52.4428
6.605,261.506,291.58,52.5332
6.855,287.308,317.041,47.0216
7.105,304.761,315.7,52.3798
7.355,284.246,305.162,51.513
7.605,294.065,325.636,49.8755
7.855,316.521,328.457,51.5317
8.105,303.402,335.746,55.1125
8.355,289.302,298.007,49.8303
8.605,313.999,327.653,51.2812
8.855,301.148,350.437,49.0736
9.105,297.118,322.873,57.6409
9.355,323.27,345.501,53.7832
9.605,303.518,332.25,54.9462
9.855,308.465,337.05,56.6952
10.105,302.261,340.123,45.3149
10.355,304.15,343.787,52.2957
10.605,315.287,321.687,54.338
10.855,296.516,326.717,52.7197
11.105,296.289,335.695,56.4024
11.355,311.309,316.883,59.6769
11.605,304.415,315.026,57.3255
11.855,312.167,328.046,53.9851
12.105,341.181,348.671,52.8909
12.355,327.591,334.388,56.2615
12.605,328.713,319.076,51.4062
12.855,298.037,333.572,48.4981
13.105,324.278,336.388,56.2534
13.355,311.242,320.4,52.8692
13.605,308.361,312.874,50.2019
13.855,290.665,306.059,55.037
14.105,296.39,309.044,54.5668
14.355,294.901,321.925,50.4404
14.605,305.044,311.371,51.6072
14.855,314.021,319.513,49.7707
15.105,296.734,299.287,57.6308
15.355,283.353,289.48,52.2938
15.605,269.717,311.817,54.6538
15.855,297.953,296.777,59.7087
16.105,289.868,314.986,52.6774
16.355,273.827,313.448,51.563
16.605,272.522,313.31,51.7755
16.855,261.636,303.428,57.9154
17.105,299.108,299.362,48.7697
17.355,292.101,302.208,51.9678
17.605,274.805,310.259,55.1923
17.855,295.739,314.135,56.5663
18.105,288.829,303.076,53.9346
18.355,290.591,296.16,57.1817
18.605,282.285,292.684,49.9639
18.855,264.558,305.649,48.5649
19.105,279.343,301.105,60.2601
19.355,272.888,313.729,55.238
19.605,277.781,292.048,52.3538
19.855,279.185,311.286,59.1846
20.105,282.389,295.307,54.2433
20.355,288.435,299.056,55.9712
20.605,295.686,311.543,52.7014
20.855,290.636,295.518,47.0548
21.105,285.893,304.898,48.6745
21.355,307.984,299.012,49.1952
21.605,308.678,313.632,58.4005
21.855,289.794,297.316,53.0231
22.105,298.776,308.335,53.1163
22.355,267.217,292.52,51.6111
22.605,286.688,298.957,51.9577
22.855,287.773,300.435,52.7875
23.105,275.848,309.629,52.8212
23.355,283.688,316.267,54.1159
23.605,285.627,301.829,52.8245
23.855,287.67,296.868,47.9721
24.105,279.7,316.164,52.0611
24.355,297.951,314.377,51.3264
24.605,280.11,320.412,54.325
24.855,284.416,296.272,48.5654
25.105,300.134,342.881,51.5115
25.355,291.228,320.671,51.2851
25.605,288.11,311.122,53.2255
25.855,312.146,338.291,50.8192
26.105,299.439,327.551,52.7245
26.355,291.634,324.664,52.7486
26.605,292.509,310.448,50.1673
26.855,291.952,313.509,55.3913
27.105,267.381,308.394,49.1168
27.355,278.158,312.342,55.4072
27.605,291.568,291.952,46.8409
27.855,281.974,292.467,50.3019
28.105,289.824,299.769,45.726
28.355,285.563,320.675,46.2226
28.605,296.262,306.021,52.1856
28.855,283.298,325.32,48.2683
29.105,291.382,331.357,53.1668
29.355,293.51,317.325,55.0913
29.605,289.103,323.351,51.2111
29.855,294.36,312.109,47.4663
30.105,277.642,303.871,48.0091
30.355,301.009,303.214,44.2889
30.605,304.163,298.586,47.5212
30.855,300.725,298.069,44.9471
