Time,ROI,Whole Cell,Background
0,642.967,580.71,59.5356
0.25,626.24,590.703,57.1909
0.5,636.127,596.91,64.2923
0.75,650.394,584.109,64.3106
1,672.65,585.728,58.0212
1.25,616.593,606.95,56.4476
1.5,635.289,604.402,57.0298
1.75,605.547,580.244,58.9587
2,641.069,562.045,59.2966
2.25,633.976,576.769,54.6437
2.5,604.592,578.311,62.8702
2.75,625.361,580.195,57.9298
3,595.724,604.361,55.6139
3.25,599.802,577.825,61.2462
3.5,602.556,554.067,58.9654
3.75,602.974,580.526,59.3909
4,622.972,581.507,67.1481
4.25,584.628,583.15,63.5519
4.5,618.004,601.67,61.2466
4.75,563.161,574.006,57.1793
4.971,230.433,619.486,59.0615
5.192,175.458,560.406,56.5736
5.413,169.683,507.597,56.9082
5.634,169.535,476.61,54.1404
5.855,155.176,482.404,64.7582
6.105,364.207,465.48,58.2462
6.355,408.997,465.866,60.9077
6.605,454.233,510.093,58.3202
6.855,450.946,498.323,54.8019
7.105,442.578,520.872,59.1548
7.355,489.648,524.486,61.2255
7.605,505.152,512.505,50.0548
7.855,486.497,536.098,49.8288
8.105,503.67,511.052,60.0476
8.355,535.048,538.297,61.9841
8.605,510.868,538.77,61.974
8.855,512.826,553.625,61.6524
9.105,545.315,577.101,57.3038
9.355,532.341,527.62,62.5245
9.605,543.202,548.87,58.4673
9.855,525.944,533.055,59.3798
10.105,555.721,559.545,64.8779
10.355,573.516,563.488,56.4712
10.605,549.322,532.243,56.9072
10.855,559.248,545.424,58.9827
11.105,535.383,548.778,56.0519
11.355,525.857,560.221,52.7966
11.605,571.169,551.109,59.6255
11.855,520.937,528.352,58.5952
12.105,558.382,553.073,57.5255
12.355,519.374,549.146,63.9688
12.605,555.955,568.186,57.3731
12.855,554.233,532.218,61.1562
13.105,534.174,511.334,54.1519
13.355,550.559,536.951,59.7505
13.605,551.054,507.192,60.15
13.855,553.604,559.662,57.0707
14.105,577.248,548.633,58.7697
14.355,560.034,504.452,60.9082
14.605,519.185,502.428,58.524
14.855,545.259,557.429,57.7505
15.105,539.926,510.199,54.1087
15.355,533.318,484.98,56.3697
15.605,547.458,511.164,54.1385
15.855,545.432,506.132,56.6784
16.105,518.914,500.728,59.3452
16.355,507.831,490.946,54.3784
16.605,526.414,499.484,55.0563
16.855,530.286,504.243,54.0202
17.105,514.984,507.098,58.6721
17.355,517.149,499.803,60.6606
17.605,510.192,500.485,56.4673
17.855,491.437,495.726,60.9971
18.105,537.36,475.185,54.737
18.355,507.128,477.849,55.9481
18.605,513.591,476.01,60.7716
18.855,506.39,498.783,55.9731
19.105,515.852,491.608,56.4322
19.355,535.139,501.026,60.4038
19.605,533.845,474.19,51.5534
19.855,535.214,481.838,58.6692
20.105,508.1,510.373,53.0731
20.355,514.697,488.39,56.5591
20.605,509.193,507.199,59.8976
20.855,514.173,504.268,57.4346
21.105,502.948,503.262,51.9524
21.355,522.317,489.002,57.4221
21.605,517.261,481.019,59.2894
21.855,528.946,477.917,55.0822
22.105,505.349,496.932,54.5837
22.355,535.66,508.776,58.0139
22.605,511.722,520.346,56.9976
22.855,494.647,476.424,57.3139
23.105,522.492,500.495,59.3697
23.355,522.315,499.845,53.7793
23.605,506.559,501.388,54.2543
23.855,532.552,468.742,53.6846
24.105,510.48,489.299,60.8279
24.355,498.917,492.623,53.3298
24.605,495.978,461.299,57.7976
24.855,505.7,467.655,54.062
25.105,489.355,492.409,55.9452
25.355,489.516,459.534,61.9178
25.605,511.721,483.2,63.8351
25.855,493.091,462.519,58.6332
26.105,473.36,460.373,59.7995
26.355,481.576,466.951,50.4135
26.605,470.244,463.558,58.0957
26.855,501.111,473.936,53.4668
27.105,516.956,460.879,58.4928
27.355,491.46,471.463,55.5019
27.605,476.038,492.164,58.2385
27.855,498.889,459.612,57.7048
28.105,491.36,456.974,55.1591
28.355,492.238,441.529,55.412
28.605,490.046,442.936,60.3582
28.855,510.408,445.274,56.5274
29.105,482.981,458.086,54.0846
29.355,508.086,464.015,56.2154
29.605,469.796,468.23,51.6923
29.855,500.3,464.88,59.388
30.105,478.013,445.59,53.0938
30.355,513.272,462.153,56.7462
30.605,485.587,468.381,53.6077
30.855,497.615,450.9,53.3423
