Time,ROI,Whole Cell,Background
0,829.549,485.709,41.4493
0.084,789.233,488.313,41.4203
0.168,764.295,490.702,47.4493
0.252,817.944,488.037,45.6449
0.336,823.369,487.686,44.6594
0.42,823.514,486.577,43.4855
0.504,817.035,485.79,46.2971
0.588,826.413,486.136,41.0942
0.672,828.743,479.826,40.8696
0.756,820,483.819,44.7246
0.84,835.974,487.633,40.6232
0.924,804.828,488.028,46.1957
1.008,837.706,486.73,45.3043
1.092,830.803,485.873,37.1232
1.176,816.39,485.586,40.558
1.26,791.778,480.356,38
1.344,819.595,480.528,45.8696
1.428,804.908,484.079,35.8551
1.512,805.286,477.936,43.8623
1.596,816.185,482.754,40.7536
1.68,808.011,480.1,44.6087
1.764,808.572,479.613,37.0362
1.848,817.321,480.074,42.6522
1.932,796.569,478.258,46.5507
2.016,826.579,478.048,40.4855
2.138,651.829,506.913,54.6812
2.26,602.221,501.997,61.3043
2.382,571.015,499.876,59.5797
2.504,553.074,499.097,58.8406
2.626,552.654,492.998,57.9203
2.71,685.542,476.193,50.9493
2.794,666.575,469.702,47.7101
2.878,699.726,470.426,45.7609
2.962,723.534,469.735,44.7174
3.046,724.343,468.807,49.7464
3.13,721.262,468.814,48.4275
3.214,713.126,462.317,46.7319
3.298,734.858,465.522,44.3841
3.382,751.033,466.152,51.1739
3.466,723.124,464.549,44.971
3.55,744.392,463.105,48.8188
3.634,730.702,459.511,39.4493
3.718,740.175,461.809,44.1377
3.802,752.162,457.899,48.3261
3.886,764.469,459.476,43.8043
3.97,754.239,461.822,40.3478
4.054,745.315,463.626,43.2754
4.138,762.182,460.797,44.5725
4.222,738.215,456.423,42.7681
4.306,769.377,461.72,42.058
4.39,723.994,459.629,50.5072
4.474,741.769,456.86,39.8986
4.558,761.537,458.138,43.5435
4.642,751.514,459.88,41.4638
4.726,767.663,458.666,45.1087
4.81,754.501,461.827,37.913
4.894,762.719,457.616,42.3478
4.978,737.325,454.529,47.3986
5.062,749.445,453.644,44.8116
5.146,722.95,460.672,45.3986
5.23,754.487,457.826,39.942
5.314,755.48,459.03,40.4275
5.398,752.079,456.432,41.9493
5.482,769.065,457.133,41.8768
5.566,747.171,455.752,38.1304
5.65,776.442,451.007,44.7391
5.734,750.032,453.443,45.1594
5.818,778.424,451.501,41.5652
5.902,775.189,453.25,36.0652
5.986,736.835,454.826,40.8841
6.07,772.973,453.746,43.7609
6.154,757.33,454.088,44.7174
6.238,753.706,453.219,42.3696
6.322,754.592,449.103,42.7536
6.406,760.77,450.691,44.8333
6.49,731.215,447.598,38.8841
6.574,755.929,450.863,40.942
6.658,735.856,451.187,45.7536
6.742,749.197,450.524,40.7464
6.826,744.531,449.362,38.4493
