Time,ROI,Whole Cell,Background
0,984.458,588.88,55.0652
0.084,992.073,582.033,40.6812
0.168,997.567,586.414,47.3841
0.252,993.853,582.699,43.7681
0.336,1011.25,585.163,44.7464
0.42,1021.767,581.669,41.6739
0.504,1029.811,584.913,48.7246
0.588,971.731,577.727,45.7899
0.672,1003.72,579.321,42.0942
0.756,1001.401,578.753,46.471
0.84,968.064,577.908,40.3406
0.924,982.82,576.349,43.3696
1.008,1011.908,575.588,40.6014
1.092,965.466,573.412,48.9783
1.176,966.023,574.163,50.6087
1.26,1006.36,574.117,43.6522
1.344,979.685,571.874,40.4275
1.428,966.625,569.757,40.3406
1.512,994.496,570.872,40.942
1.596,990.687,571.394,41.0652
1.68,986.148,566.784,41.2971
1.764,963.401,558.294,43.1304
1.848,1007.313,561.587,39.413
1.932,992.864,566.063,44.8188
2.016,964.587,561.704,36.2319
2.138,786.474,589.748,60.6159
2.26,672.079,589.371,59.3406
2.382,679.684,585.558,56.4928
2.504,660.157,576.889,57.0725
2.626,606.927,575.23,59.3116
2.71,795.174,552.86,51.0652
2.794,815.903,547.816,54.6377
2.878,802.84,545.47,48.3841
2.962,843.64,545.179,48.2971
3.046,841.33,538.788,48.529
3.13,856.732,538.956,50.971
3.214,870.399,537.275,51.4928
3.298,897.708,541.915,45.6594
3.382,907.858,543.233,46.4565
3.466,895.703,544.652,59.7536
3.55,893.268,539.794,42.9493
3.634,894.862,538.065,45.4058
3.718,861.053,535.612,45.6957
3.802,897.023,542.358,50.2899
3.886,908.439,536.646,48.4203
3.97,907.259,534.991,46.7754
4.054,894.9,534.711,44.7681
4.138,873.968,530.969,44.5
4.222,883.415,536.097,41.0072
4.306,903.31,533.469,43.5362
4.39,895.772,534.812,43.8406
4.474,892.917,530.793,40.7536
4.558,864.124,529.916,45.5725
4.642,903.908,532.463,38.6957
4.726,916.835,532.944,40.6449
4.81,863.655,527.913,38.8478
4.894,895.452,529.306,50.4928
4.978,901.377,524.622,42.4058
5.062,909.814,528.662,41.5
5.146,884.095,527.421,43.5362
5.23,901.393,524.676,44.4203
5.314,896.292,528.576,41.6884
5.398,875.841,527.685,40.413
5.482,911.315,524.956,39.5217
5.566,900.534,524.819,47.087
5.65,911.69,524.046,38.7029
5.734,846.9,525.663,42.587
5.818,870.983,518.743,40.6667
5.902,873.073,518.76,47.8406
5.986,893.41,519.779,43.5942
6.07,893.411,520.598,41.5145
6.154,887.315,520.89,39.6014
6.238,904.483,518.155,43.0072
6.322,905.044,521.578,46.5652
6.406,890.666,518.317,40.6449
6.49,889.911,518.237,45.6594
6.574,869.113,515.198,44.9565
6.658,883.269,514.606,39.0507
6.742,875.478,516.788,39.7464
6.826,845.834,515.489,45.7826
