[sec],Mean
0,882.208
1,765.933
2,690.408
3,641.467
4,621.383
5,596.642
6,582.150
7,576.825
8,577.117
9,565.000
10,569.825
11,582.908
12,573.800
13,576.533
14,589.917
15,589.067
16,585.342
17,596.683
18,601.225
19,598.967
20,601.117
21,602.783
22,596.958
23,618.800
24,619.725
25,620.150
26,621.550
27,630.683
28,627.592
29,629.925
30,626.500
31,631.658
32,639.858
33,624.175
34,633.975
35,636.908
36,630.983
37,638.783
38,643.308
39,645.892
40,646.633
41,656.175
42,657.525
43,651.142
44,656.092
45,663.175
46,657.467
47,658.767
48,650.183
49,666.067
50,658.958
51,658.858
52,665.833
53,674.450
54,659.633
55,654.100
56,668.725
57,660.583
58,649.517
59,666.233
