[sec],Mean
0,2364.417
1,1723.292
2,1495.042
3,1391.354
4,1352.625
5,1314.854
6,1352.250
7,1333.417
8,1410.750
9,1394.958
10,1416.396
11,1439.167
12,1421.167
13,1464.396
14,1479.271
15,1478.771
16,1473.667
17,1473.021
18,1481.208
19,1507.146
20,1546.833
21,1550.042
22,1542.250
23,1557.792
24,1540.729
25,1569.188
26,1612.271
27,1587.958
28,1589.583
29,1616.583
30,1631.604
31,1629.021
32,1669.938
33,1649.479
34,1627.542
35,1627.042
36,1655.729
37,1632.125
38,1684.458
39,1676.167
40,1668.354
41,1677.771
42,1648.917
43,1669.688
44,1680.875
45,1663.583
46,1634.938
47,1684.979
48,1665.708
49,1697.292
50,1708.917
51,1708.688
52,1668.875
53,1684.667
54,1667.333
55,1648.000
56,1678.375
57,1686.000
58,1719.104
59,1691.917
