[sec],Mean
0,396.339
1,286.980
2,265.310
3,263.745
4,265.177
5,264.751
6,269.707
7,274.209
8,278.872
9,282.855
10,285.977
11,289.165
12,294.548
13,300.154
14,303.832
15,304.629
16,311.554
17,315.626
18,320.701
19,322.046
20,324.133
21,327.780
22,330.101
23,330.513
24,333.554
25,334.910
26,338.020
27,338.826
28,339.849
29,342.542
30,345.432
31,350.858
32,353.786
33,352.649
34,354.180
35,356.362
36,355.664
37,355.168
38,356.362
39,361.574
40,363.820
41,359.441
42,365.472
43,360.452
44,363.409
45,361.496
46,363.136
47,364.171
48,363.887
49,368.829
50,369.270
51,370.128
52,368.777
53,364.632
54,367.072
55,362.128
56,360.606
57,368.275
58,369.246
59,364.858
