[sec],Mean
0,1862.137
1,1545.004
2,1380.040
3,1310.546
4,1210.847
5,1193.145
6,1139.928
7,1110.643
8,1089.418
9,1068.819
10,1058.100
11,1052.851
12,1040.173
13,1052.185
14,1049.791
15,1047.153
16,1068.385
17,1057.787
18,1049.378
19,1054.791
20,1046.309
21,1055.084
22,1057.189
23,1067.936
24,1065.920
25,1081.072
26,1061.108
27,1091.466
28,1081.434
29,1090.839
30,1088.980
31,1103.691
32,1104.221
33,1121.370
34,1114.900
35,1110.494
36,1128.004
37,1136.249
38,1126.639
39,1142.799
40,1148.594
41,1151.711
42,1157.534
43,1165.639
44,1161.185
45,1177.896
46,1175.735
47,1172.273
48,1190.385
49,1189.795
50,1173.365
51,1190.281
52,1189.406
53,1190.309
54,1192.129
55,1200.908
56,1207.173
57,1212.610
58,1221.944
59,1213.807
60,1229.884
