Time,ROI,Whole Cell,Background
0,961.26,590.266,60.6
0.083,987.082,588.908,59.3818
0.166,1007.638,585.294,55.8485
0.249,955.611,584.143,61.4606
0.332,956.628,589.46,58.7515
0.415,950.112,584.027,59.0242
0.498,986.88,585.03,56.897
0.581,968.088,583.499,64.9273
0.664,962.039,587.951,60.1333
0.747,974.917,583.173,58.8909
0.83,964.814,580.335,55.2303
0.913,974.259,584.115,61.3091
0.996,976.867,584.78,61.1212
1.079,947.174,579.452,54.3636
1.162,978.755,577.948,45.6303
1.245,939.528,576.624,61.3636
1.328,956.393,578.647,49.9455
1.411,970.071,577.815,58.2424
1.494,960.723,576.548,51.5333
1.577,946.234,572.74,58.5212
1.66,933.365,573.454,56.3636
1.743,953.018,575.469,60.5939
1.826,923.484,575.326,61.5394
1.909,926.587,569.341,49.9394
1.992,955.319,572.39,62.7455
2.114,755.64,600.639,76.4848
2.236,687.301,598.749,74.9394
2.319,861.06,574.052,66.6606
2.402,860.644,568.078,71.5333
2.485,899.287,563.387,67.4667
2.568,905.437,567.446,69.5455
2.651,895.843,561.448,66.0242
2.734,903.811,565.257,60.5152
2.817,881.215,564.534,72.2242
2.9,882.555,558.312,72.2182
2.983,902.725,559.356,58.9212
3.066,926.88,564.485,60.0303
3.149,912.006,558.191,59.3697
3.232,866.526,555.001,60.7758
3.315,897.241,559.752,64.8727
3.398,881.233,558.774,65.6061
3.481,900.284,561.708,60.4303
3.564,892.077,556.015,62.0182
3.647,902.514,552.435,63.0485
3.73,899.466,555.784,61.5515
3.813,947.611,555.811,56.303
3.896,907.06,553.554,50.8909
3.979,903.522,556.383,61.2848
4.062,914.88,551.918,62.1394
4.145,902.262,552.013,51.7273
4.228,906.997,547.937,55.0849
4.311,913.772,554.245,68.5576
4.394,911.336,552.098,68.7515
4.477,910.929,546.714,67.1394
4.56,878.523,548.193,61.6061
4.643,884.635,545.412,57.1818
4.726,868.213,550.159,57.1273
4.809,886.66,546.117,57.2848
4.892,898.186,547.406,55.8061
4.975,914.044,548.996,54.8667
5.058,914.401,548.693,67.3091
5.141,894.623,543.754,45.9697
5.224,897.581,541.834,59.8121
5.307,902.593,544.899,68.6303
5.39,918.121,544.636,65.6606
5.473,918.567,540.202,62.5939
5.556,916.852,540.06,52.0849
5.639,878.859,538.986,55.8545
5.722,913.408,538.707,62.4606
5.805,883.94,537.855,53.1636
5.888,877.77,536.107,64.9939
5.971,901.516,535.2,61.2848
6.054,911.439,539.607,52.7333
6.137,884.18,539.199,57.7515
6.22,882.661,535.703,62.4061
6.303,896.643,533.986,59.3515
6.386,905.52,530.568,55.5455
