Time,ROI,Whole Cell,Background
0,1907.333,1003.528,49.103
0.085,1916.941,970.015,55.7212
0.169,1864.41,947.363,57.8727
0.253,1769.319,937.563,50.2909
0.337,1820.38,933.577,54.8364
0.42,1759.584,926.003,55.4727
0.504,1762.017,927.209,49.1697
0.588,1749.646,917.685,52.1273
0.672,1731.189,911.834,50.9758
0.756,1752.342,911.569,48.8242
0.842,1727.787,906.896,53.9091
0.927,1674.651,899.53,55.303
1.013,1714.433,904.132,45.6
1.097,1712.183,898.955,48.7394
1.18,1656.43,891.004,43.7333
1.264,1682.2,885.416,51.3636
1.348,1672.85,882.168,48.0364
1.432,1686.315,882.496,45.7152
1.516,1631.912,884.399,42.8485
1.602,1662.392,875.733,58.4667
1.685,1636.843,872.303,58.6848
1.769,1637.927,867.153,59.2788
1.853,1648.903,872.338,54.9758
1.94,1591.136,867.973,41.0424
2.024,1623.192,869.32,42.0788
2.144,1191.629,900.716,80.9091
2.228,1070.021,888.897,83
2.339,1334.124,855.646,74.7151
2.424,1386.08,854.43,73.6545
2.508,1383.291,849.853,63.7394
2.592,1407.08,840.649,71.8303
2.676,1451.144,837.64,68.1152
2.76,1451.758,833.158,65.3879
2.844,1447.561,830.314,65.3091
2.928,1447.033,833.153,66.9697
3.012,1430.767,824.544,67.3879
3.095,1450.088,823.426,64.4909
3.179,1447.986,820.462,58.5636
3.263,1438.936,821.613,58.1818
3.348,1469.517,818.769,78.8061
3.432,1472.009,814.38,66.3394
3.516,1447.552,811.205,64.7151
3.6,1452.147,810.789,55.7939
3.684,1458.982,814.845,70.3758
3.768,1457.569,809.247,59.0364
3.852,1456.421,806.466,54.2
3.94,1419.325,809.331,53.6182
4.024,1414.703,804.542,65.8727
4.108,1423.884,801.301,69.3091
4.192,1454.735,803.692,58.9939
4.275,1434.909,795.223,63.8242
4.359,1426.788,793.585,69.9636
4.443,1432.176,797.543,65.8545
4.527,1425.992,793.87,56.8121
4.611,1424.961,787.725,61.4303
4.695,1398.159,788.686,65.6485
4.779,1403.26,785.058,63.4848
4.863,1410.477,785.413,58.0849
4.947,1399.685,785.69,63.9576
5.03,1425.186,787.013,57.9879
5.114,1371.121,777.714,65.3576
5.198,1384.554,777.166,58.7333
5.282,1406.723,779.825,61.5333
5.366,1374.971,774.701,55.1091
5.45,1384.564,770.951,61.6545
5.534,1362.068,767.969,64.6242
5.618,1377.339,766.49,64.4485
5.702,1343.236,765.757,63.9273
5.785,1358.154,768.171,62.2061
5.87,1348.148,766.189,69.3939
5.957,1353.759,765.398,65.9091
6.041,1337.834,755.936,56.7818
6.126,1367.156,760.584,67.5939
6.21,1345.561,752.262,59.5576
6.294,1355.141,756.973,63.503
6.379,1367.625,759.752,60.097
6.463,1304.278,755.212,59.2545
