X,Y
0.00000,0.000
0.10725,10.747
0.21451,31.957
0.32176,34.847
0.42901,14.758
0.53627,1.555
0.64352,0.000
0.75078,0.000
0.85803,28.396
0.96528,85.223
1.07254,143.505
1.17979,185.720
1.28704,203.976
1.39430,198.462
1.50155,175.407
1.60881,147.777
1.71606,131.436
1.82331,138.432
1.93057,175.132
2.03782,237.603
2.14507,311.530
2.25233,380.545
2.35958,432.765
2.46684,466.083
2.57409,490.825
2.68134,517.328
2.78860,553.310
2.89585,603.399
3.00310,669.557
3.11036,748.315
3.21761,825.901
3.32486,881.695
3.43212,896.605
3.53937,866.355
3.64663,807.238
3.75388,747.196
3.86113,713.103
3.96839,712.610
4.07564,733.531
4.18289,752.252
4.29015,746.012
4.39740,703.419
4.50466,629.788
4.61191,543.806
4.71916,465.427
4.82642,404.840
4.93367,361.323
5.04092,327.430
5.14818,295.509
5.25543,259.858
5.36269,220.397
5.46994,179.488
5.57719,138.757
5.68445,99.067
5.79170,61.712
5.89895,32.354
6.00621,26.211
6.11346,38.350
6.22072,65.323
6.32797,97.933
6.43522,116.701
6.54248,109.387
6.64973,75.089
6.75698,26.697
6.86424,0.000
6.97149,0.000
7.07874,0.000
7.18600,0.000
7.29325,0.000
7.40051,0.000
7.50776,0.000
7.61501,0.000
